LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_100,100,100,721,0,0,0,0,0,86400.0,0.0,86400.0,51.119014428188436,356.87395785395546,189.40097500519252,0.0,0.004383735754847674,0.05492812657013134,1.557753676550323E-4,0.0038056732135645717,0.0032833901977905615,0.9138989138537075,378.75476921883904,55.48759484796646,0.13496599536850348,5.916552595855143E-4,0.13496599536850348,0.013266945440138067
Track_101,101,101,721,0,0,0,0,0,86400.0,0.0,86400.0,59.86567459878914,592.4126377253311,435.7258336507904,0.0,0.005216735623520537,0.03886064415145756,1.4651393475273436E-4,0.0042879479650973695,0.003969729739973097,0.9067049953213346,450.72595787217455,71.31193583034836,0.1328205610375939,6.928897523008002E-4,0.13282056103759393,0.01249418434477573
Track_103,103,103,721,0,0,0,0,0,86400.0,0.0,86400.0,84.58697569848431,307.9773042192078,203.69536964707802,0.0,0.005382206012000129,0.045510319281557444,1.6493511595623686E-4,0.004281906733769322,0.004805753944620102,0.9008008044073552,465.022599436812,104.11932265362803,0.18189863417590335,9.79015922436161E-4,0.1818986341759037,0.012500329372950848
Track_105,105,105,721,0,0,0,0,0,86400.0,0.0,86400.0,103.0626013110155,401.534821998688,452.8951916410152,0.0,0.004850720435026669,0.03755169959940283,1.5655208009452207E-4,0.0041489590814908954,0.003592671577654494,0.9005689629238621,419.1022455863039,103.0626013110155,0.24591278714537992,0.001192854181840457,0.24591278714537973,0.011763710512535372
Track_107,107,107,721,0,0,0,0,0,86400.0,0.0,86400.0,24.588096431243073,87.69797338794706,608.7812929972994,0.0,0.006143135021355158,0.04085826482488924,1.866765936199496E-4,0.004680336389044336,0.0054814229747609435,0.8889707807198312,530.7668658450855,35.95305320337541,0.04632560548423455,2.845844494356837E-4,0.046325605484234526,0.012882085006024507
Track_114,114,114,721,0,0,0,0,0,86400.0,0.0,86400.0,37.42153004602865,289.5574021812877,405.0074300404746,0.0,0.006970199646812399,0.0578614016396303,1.884849018794599E-4,0.004847694055607671,0.00706534097973753,0.8957730753246524,602.2252494845916,39.8586557057164,0.06213875967182626,4.3311956071792417E-4,0.0621387596718263,0.01295225532218295
Track_116,116,116,721,0,0,0,0,0,86400.0,0.0,86400.0,40.812122215446735,320.42623503910545,193.4615925125638,0.0,0.005153731765449674,0.053041395309906765,1.6912571739977853E-4,0.004100218766976814,0.00478490471027248,0.904969391644249,445.2824245348518,51.83288158483328,0.09165446459756331,4.7236252564174464E-4,0.09165446459756331,0.011315468917342555
Track_124,124,124,721,0,0,0,0,0,86400.0,0.0,86400.0,62.84362783470567,496.42285734318,639.0831861050096,0.0,0.004495673859154129,0.04251033195526333,9.562467318484357E-5,0.0036685594880367014,0.004008872240086984,0.9092570661506442,388.4262214309165,68.83067361518066,0.16179038480769178,7.273568036424268E-4,0.16179038480769165,0.012614392946582271
Track_126,126,126,721,0,0,0,0,0,86400.0,0.0,86400.0,44.45407827427171,345.5367779361145,58.86140051629499,0.0,0.005534550586963159,0.062325047454127196,4.742726351312251E-5,0.004637439464670983,0.004474610610668921,0.9093481244392765,478.1851707136162,110.5593541741827,0.09296415070323279,5.145147948411077E-4,0.09296415070323263,0.011451328636275892
Track_127,127,127,721,0,0,0,0,0,86400.0,0.0,86400.0,47.03927361195358,574.0420543213244,132.86067235257306,0.0,0.0042579730577595384,0.04074917208089827,1.7360411623709238E-4,0.003546611721534603,0.003155492393116164,0.9135703148524408,367.8888721904243,48.05559420490026,0.12786272477305433,5.444360371753887E-4,0.12786272477305438,0.013356596159922813
